"position";"roster.name";"sort_order";"cost";"edition"
"Star player Rumbelow Sheepskin";"Human";14;170;"bb2020"
"Star player Ivar Eriksson";"Human";15;245;"bb2020"
"cheerleaders";"Human";20;10;"bb2020"
"cheerleaders";"Human";20;10;"bb2025"
"Star player Grombrindal";"Human";21;210;"bb2025"
"Star player Mighty Zug";"Human";22;220;"bb2025"
"Star player Skrorg Snowpelt";"Human";23;250;"bb2025"
"the White Dwarf";"Human";24;210;"bb2025"
"Star player Rumbelow Sheepskin";"Human";25;170;"bb2025"
"Star player Ivar Eriksson";"Human";26;245;"bb2025"
"Imperial Retainer Lineman";"Imperial Nobility";1;45;"bb2020"
"Imperial Retainer";"Imperial Nobility";1;45;"bb2025"
"Imperial Thrower";"Imperial Nobility";2;75;"bb2020"
"Imperial Thrower";"Imperial Nobility";2;75;"bb2025"
"Noble Blitzer";"Imperial Nobility";3;105;"bb2020"
"Noble Blitzer";"Imperial Nobility";3;105;"bb2025"
"Bodyguard";"Imperial Nobility";4;90;"bb2020"
"Bodyguard";"Imperial Nobility";4;90;"bb2025"
"Ogre";"Imperial Nobility";5;140;"bb2020"
"Ogre";"Imperial Nobility";5;140;"bb2025"
"rerolls";"Imperial Nobility";6;70;"bb2020"
"rerolls";"Imperial Nobility";6;70;"bb2025"
"apothecary";"Imperial Nobility";7;50;"bb2020"
"apothecary";"Imperial Nobility";7;50;"bb2025"
"1 bribe";"Imperial Nobility";8;100;"bb2020"
"1 bribe";"Imperial Nobility";8;100;"bb2025"
"assistantCoaches";"Imperial Nobility";9;10;"bb2020"
"cheerleaders";"Imperial Nobility";9;10;"bb2020"
"assistantCoaches";"Imperial Nobility";9;10;"bb2025"
"cheerleaders";"Imperial Nobility";9;10;"bb2025"
"dedicated_fans";"Imperial Nobility";9;5;"bb2025"
"Star player Mighty Zug";"Imperial Nobility";10;220;"bb2020"
"Star player Mighty Zug";"Imperial Nobility";10;220;"bb2025"
"Star player Ivar Eriksson";"Imperial Nobility";12;245;"bb2020"
"Star player Ivar Eriksson";"Imperial Nobility";12;245;"bb2025"
"Bloodborn Marauder Lineman";"Khorne";1;50;"bb2020"
"Bloodborn Marauder";"Khorne";1;50;"bb2025"
"Khorngor";"Khorne";2;70;"bb2020"
"Khorngor";"Khorne";2;70;"bb2025"
"Bloodseeker";"Khorne";3;110;"bb2020"
"Bloodseeker";"Khorne";3;110;"bb2025"
"Bloodspawn";"Khorne";4;160;"bb2020"
"Bloodspawn";"Khorne";4;160;"bb2025"
"rerolls";"Khorne";5;60;"bb2020"
"rerolls";"Khorne";5;60;"bb2025"
"1 bribe";"Khorne";8;100;"bb2020"
"1 bribe";"Khorne";8;100;"bb2025"
"Star player Kreek Rustgouger";"Khorne";10;170;"bb2020"
"Star player Kreek Rustgouger";"Khorne";10;170;"bb2025"
"assistantCoaches";"Khorne";11;10;"bb2020"
"assistantCoaches";"Khorne";11;10;"bb2025"
"apothecary";"Khorne";12;50;"bb2020"
"apothecary";"Khorne";12;50;"bb2025"
"cheerleaders";"Khorne";20;10;"bb2020"
"cheerleaders";"Khorne";20;10;"bb2025"
"Skink Runner Lineman";"Lizardmen";1;60;"bb2020"
"Skink Lineman";"Lizardmen";1;60;"bb2025"
"Chameleon Skink";"Lizardmen";2;70;"bb2020"
"Chameleon Skink";"Lizardmen";2;70;"bb2025"
"Saurus Blocker";"Lizardmen";3;85;"bb2020"
"Saurus Blocker";"Lizardmen";3;85;"bb2025"
"Kroxigor";"Lizardmen";4;140;"bb2020"
"Kroxigor";"Lizardmen";4;140;"bb2025"
"rerolls";"Lizardmen";5;70;"bb2020"
"rerolls";"Lizardmen";5;70;"bb2025"
"apothecary";"Lizardmen";6;50;"bb2020"
"apothecary";"Lizardmen";6;50;"bb2025"
"1 bribe";"Lizardmen";7;100;"bb2020"
"1 bribe";"Lizardmen";7;100;"bb2025"
"assistantCoaches";"Lizardmen";9;10;"bb2020"
"assistantCoaches";"Lizardmen";9;10;"bb2025"
"cheerleaders";"Lizardmen";10;10;"bb2025"
"Star player Akhorne the Squirrel";"Lizardmen";11;80;"bb2020"
"TempAgencyCheerleaders";"Lizardmen";11;10;"bb2025"
"WeatherMage";"Lizardmen";12;25;"bb2025"
"1 team mascot";"Lizardmen";13;25;"bb2025"
"cheerleaders";"Lizardmen";20;10;"bb2020"
"Star player Akhorne the Squirrel";"Lizardmen";21;80;"bb2025"
"Zombie Lineman";"Necromantic Horror";1;40;"bb2020"
"Zombie Lineman";"Necromantic Horror";1;40;"bb2025"
"Ghoul Runner";"Necromantic Horror";2;75;"bb2020"
"Werewolf";"Necromantic Horror";2;125;"bb2020"
"Ghoul Runner";"Necromantic Horror";2;75;"bb2025"
"Werewolf";"Necromantic Horror";2;125;"bb2025"
"Wraith";"Necromantic Horror";3;95;"bb2020"
"Wraith";"Necromantic Horror";3;95;"bb2025"
"Flesh Golem";"Necromantic Horror";4;115;"bb2020"
"Flesh Golem";"Necromantic Horror";4;115;"bb2025"
"rerolls";"Necromantic Horror";5;70;"bb2020"
"rerolls";"Necromantic Horror";5;70;"bb2025"
"assistantCoaches";"Necromantic Horror";9;10;"bb2020"
"assistantCoaches";"Necromantic Horror";9;10;"bb2025"
"Star player Gretchen Wächter 'The Blood Bowl Widow'";"Necromantic Horror";11;260;"bb2020"
"Star player Gretchen Wächter 'The Blood Bowl Widow'";"Necromantic Horror";11;260;"bb2025"
"1 bribe";"Necromantic Horror";12;100;"bb2020"
"1 bribe";"Necromantic Horror";12;100;"bb2025"
"cheerleaders";"Necromantic Horror";20;10;"bb2020"
"cheerleaders";"Necromantic Horror";20;10;"bb2025"
"Norse Lineman";"Norse";1;50;"bb2020"
"Norse Raider Lineman";"Norse";1;50;"bb2020"
"Norse Raider";"Norse";1;50;"bb2025"
"Beer Boar";"Norse";2;20;"bb2020"
"Norse Thrower";"Norse";2;70;"bb2020"
"Beer Boar";"Norse";2;20;"bb2025"
"Norse Catcher";"Norse";3;90;"bb2020"
"Norse Berserker";"Norse";4;90;"bb2020"
"Norse Berserker";"Norse";4;90;"bb2025"
"Ulfwerener";"Norse";5;105;"bb2020"
"Valkyrie";"Norse";5;95;"bb2020"
"Ulfwerener";"Norse";5;105;"bb2025"
"Valkyrie";"Norse";5;95;"bb2025"
"Yhetee";"Norse";6;140;"bb2020"
"Yhetee";"Norse";6;140;"bb2025"
"rerolls";"Norse";7;60;"bb2020"
"rerolls";"Norse";7;60;"bb2025"
"apothecary";"Norse";9;50;"bb2020"
"apothecary";"Norse";9;50;"bb2025"
"1 bribe";"Norse";10;100;"bb2020"
"1 bribe";"Norse";10;100;"bb2025"
"Star player Deeproot Strongbranch";"Norse";11;280;"bb2020"
"Star player Deeproot Strongbranch";"Norse";11;280;"bb2025"
"Star player Griff Oberwald";"Norse";12;280;"bb2020"
"Star player Griff Oberwald";"Norse";12;280;"bb2025"
"Star player Ivar Eriksson";"Norse";13;245;"bb2020"
"Star player Ivar Eriksson";"Norse";13;245;"bb2025"
"Star player Mighty Zug";"Norse";14;220;"bb2020"
"Star player Mighty Zug";"Norse";14;220;"bb2025"
"Star player Skrorg Snowpelt";"Norse";15;250;"bb2020"
"Star player Skrorg Snowpelt";"Norse";15;250;"bb2025"
"Star player Zolcath the Zoat";"Norse";16;230;"bb2020"
"Star player Zolcath the Zoat";"Norse";16;230;"bb2025"
"Star player Lord Borak the Despoiler";"Norse";17;260;"bb2020"
"Star player Lord Borak the Despoiler";"Norse";17;260;"bb2025"
"assistantCoaches";"Norse";19;10;"bb2020"
"assistantCoaches";"Norse";19;10;"bb2025"
"cheerleaders";"Norse";20;10;"bb2020"
"cheerleaders";"Norse";20;10;"bb2025"
"Norse Lineman";"Norse Eurobowl 2022";1;50;"bb2020"
"Norse Thrower";"Norse Eurobowl 2022";2;70;"bb2020"
"Norse Catcher";"Norse Eurobowl 2022";3;90;"bb2020"
"Norse Bezerker";"Norse Eurobowl 2022";4;90;"bb2020"
"Ulfwerener";"Norse Eurobowl 2022";5;105;"bb2020"
"Yhettee";"Norse Eurobowl 2022";6;140;"bb2020"
"rerolls";"Norse Eurobowl 2022";7;60;"bb2020"
"Star player Deeproot Strongbranch";"Norse Eurobowl 2022";11;280;"bb2020"
"assistantCoaches";"Norse Eurobowl 2022";19;10;"bb2020"
"cheerleaders";"Norse Eurobowl 2022";20;10;"bb2020"
"Rotter Lineman";"Nurgle";1;35;"bb2020"
"Rotter Lineman";"Nurgle";1;35;"bb2025"
"Pestigor";"Nurgle";2;75;"bb2020"
"Pestigor";"Nurgle";2;75;"bb2025"
"Bloater";"Nurgle";3;115;"bb2020"
"Bloater";"Nurgle";3;115;"bb2025"
"Rotspawn";"Nurgle";4;140;"bb2020"
"Rotspawn";"Nurgle";4;140;"bb2025"
"rerolls";"Nurgle";5;70;"bb2020"
"rerolls";"Nurgle";5;70;"bb2025"
"1 bribe";"Nurgle";10;100;"bb2020"
"1 bribe";"Nurgle";10;100;"bb2025"
"assistantCoaches";"Nurgle";11;10;"bb2020"
"assistantCoaches";"Nurgle";11;10;"bb2025"
"cheerleaders";"Nurgle";12;10;"bb2020"
"cheerleaders";"Nurgle";12;10;"bb2025"
"1 team mascot";"Nurgle";13;25;"bb2025"
"BlitzerBestKeg";"Nurgle";16;50;"bb2025"
"Star player Glart Smashrip";"Nurgle";20;195;"bb2020"
"Star player Glart Smashrip";"Nurgle";20;195;"bb2025"
"Gnoblar Lineman";"Ogre";1;15;"bb2020"
"Gnoblar Lineman";"Ogre";1;15;"bb2025"
"Ogre Blocker";"Ogre";2;140;"bb2020"
"Ogre Blocker";"Ogre";2;140;"bb2025"
"Ogre Runt Punter";"Ogre";3;145;"bb2020"
"Ogre Runt Punter";"Ogre";3;145;"bb2025"
"Star player Mighty Zug";"Ogre";6;220;"bb2020"
"Star player Mighty Zug";"Ogre";6;220;"bb2025"
"assistantCoaches";"Ogre";9;10;"bb2020"
"assistantCoaches";"Ogre";9;10;"bb2025"
"rerolls";"Ogre";9;70;"bb2025"
"apothecary";"Ogre";10;50;"bb2025"
"Star player Griff Oberwald";"Ogre";11;280;"bb2020"
"Star player H'Thark the Unstoppable";"Ogre";12;300;"bb2020"
"Star player Griff Oberwald";"Ogre";21;280;"bb2025"
"Star player H'Thark the Unstoppable";"Ogre";22;300;"bb2025"
"Old World Human Lineman";"Old World Alliance";1;50;"bb2020"
"Human Lineman";"Old World Alliance";1;50;"bb2025"
"Old World Human Thrower";"Old World Alliance";2;80;"bb2020"
"Human Thrower";"Old World Alliance";2;80;"bb2025"
"Old World Human Catcher";"Old World Alliance";3;65;"bb2020"
"Human Catcher";"Old World Alliance";3;65;"bb2025"
"Old World Human Blitzer";"Old World Alliance";4;90;"bb2020"
"Human Blitzer";"Old World Alliance";4;90;"bb2025"
"Old World Dwarf Blocker";"Old World Alliance";5;75;"bb2020"
"Dwarf Lineman";"Old World Alliance";5;75;"bb2025"
"Old World Dwarf Runner";"Old World Alliance";6;85;"bb2020"
"Dwarf Runner";"Old World Alliance";6;85;"bb2025"
"Old World Dwarf Blitzer";"Old World Alliance";7;80;"bb2020"
"Dwarf Blitzer";"Old World Alliance";7;80;"bb2025"
"Old World Dwarf Troll Slayer";"Old World Alliance";8;95;"bb2020"
"Troll Slayer";"Old World Alliance";8;95;"bb2025"
"Old World Halfling Hopeful";"Old World Alliance";9;30;"bb2020"
"Halfling Hopeful";"Old World Alliance";9;30;"bb2025"
"Ogre";"Old World Alliance";10;140;"bb2020"
"Altern Forest Treeman";"Old World Alliance";10;120;"bb2020"
"Ogre";"Old World Alliance";10;140;"bb2025"
"Altern Forest Treeman";"Old World Alliance";10;120;"bb2025"
"Star player Deeproot Strongbranch";"Old World Alliance";11;280;"bb2020"
"Star player Deeproot Strongbranch";"Old World Alliance";11;280;"bb2025"
"Star player Mighty Zug";"Old World Alliance";12;220;"bb2020"
"Star player Mighty Zug";"Old World Alliance";12;220;"bb2025"
"Star player Griff Oberwald";"Old World Alliance";13;280;"bb2020"
"Star player Griff Oberwald";"Old World Alliance";13;280;"bb2025"
"Star player Karla Von Kill";"Old World Alliance";14;210;"bb2020"
"Star player Karla Von Kill";"Old World Alliance";14;210;"bb2025"
"Star player Akhorne the Squirrel";"Old World Alliance";15;80;"bb2020"
"Star player Akhorne the Squirrel";"Old World Alliance";15;80;"bb2025"
"Star player Grombrindal";"Old World Alliance";16;210;"bb2020"
"Star player Grombrindal";"Old World Alliance";16;210;"bb2025"
"Star player Ivar Eriksson";"Old World Alliance";17;245;"bb2020"
"Star player Ivar Eriksson";"Old World Alliance";17;245;"bb2025"
"Star player Skrorg Snowpelt";"Old World Alliance";18;250;"bb2020"
"Star player Skrorg Snowpelt";"Old World Alliance";18;250;"bb2025"
"the White Dwarf";"Old World Alliance";19;210;"bb2020"
"the White Dwarf";"Old World Alliance";19;210;"bb2025"
"rerolls";"Old World Alliance";20;70;"bb2020"
"rerolls";"Old World Alliance";20;70;"bb2025"
"assistantCoaches";"Old World Alliance";21;10;"bb2020"
"assistantCoaches";"Old World Alliance";21;10;"bb2025"
"cheerleaders";"Old World Alliance";22;10;"bb2020"
"cheerleaders";"Old World Alliance";22;10;"bb2025"
"dedicated_fans";"Old World Alliance";22;5;"bb2025"
"TempAgencyCheerleaders";"Old World Alliance";22;10;"bb2025"
"apothecary";"Old World Alliance";23;50;"bb2020"
"apothecary";"Old World Alliance";23;50;"bb2025"
"1 bribe";"Old World Alliance";24;100;"bb2020"
"2 bribes";"Old World Alliance";24;200;"bb2020"
"1 bribe";"Old World Alliance";24;100;"bb2025"
"2 bribes";"Old World Alliance";24;200;"bb2025"
"Orc Lineman";"Orc";1;50;"bb2020"
"Orc Lineman";"Orc";1;50;"bb2025"
"Thrower";"Orc";2;65;"bb2020"
"Orc Thrower";"Orc";2;65;"bb2025"
"Blitzer";"Orc";3;80;"bb2020"
"Orc Blitzer";"Orc";3;80;"bb2025"
"Big Un Blocker";"Orc";4;90;"bb2020"
"Big Un Blocker";"Orc";4;90;"bb2025"
"Goblin";"Orc";5;40;"bb2020"
"Goblin Lineman";"Orc";5;40;"bb2025"
"Untrained Troll";"Orc";6;115;"bb2020"
"Troll";"Orc";6;115;"bb2025"
"rerolls";"Orc";7;60;"bb2020"
"rerolls";"Orc";7;60;"bb2025"
"1 bloodweiser keg";"Orc";8;50;"bb2025"
"BlitzerBestKeg";"Orc";8;50;"bb2025"
"assistantCoaches";"Orc";9;10;"bb2020"
"assistantCoaches";"Orc";9;10;"bb2025"
"apothecary";"Orc";10;50;"bb2020"
"apothecary";"Orc";10;50;"bb2025"
"1 bribe";"Orc";11;100;"bb2020"
"1 bribe";"Orc";11;100;"bb2025"
"1 team mascot";"Orc";12;25;"bb2025"
"cheerleaders";"Orc";20;10;"bb2020"
"cheerleaders";"Orc";20;10;"bb2025"
"dedicated_fans";"Orc";20;5;"bb2025"
"Skeleton Lineman";"Shambling Undead";1;40;"bb2020"
"Skeleton Lineman";"Shambling Undead";1;40;"bb2025"
"Zombie Lineman";"Shambling Undead";2;40;"bb2020"
"Zombie Lineman";"Shambling Undead";2;40;"bb2025"
"Ghoul Runner";"Shambling Undead";3;75;"bb2020"
"Ghoul Runner";"Shambling Undead";3;75;"bb2025"
"Wight Blitzer";"Shambling Undead";4;90;"bb2020"
"Wight Blitzer";"Shambling Undead";4;90;"bb2025"
"Mummy";"Shambling Undead";5;125;"bb2020"
"Mummy";"Shambling Undead";5;125;"bb2025"
"rerolls";"Shambling Undead";6;70;"bb2020"
"rerolls";"Shambling Undead";6;70;"bb2025"
"assistantCoaches";"Shambling Undead";9;10;"bb2020"
"assistantCoaches";"Shambling Undead";9;10;"bb2025"
"TempAgencyCheerleaders";"Shambling Undead";9;5;"bb2025"
"PartTimeAssistanceCoaches";"Shambling Undead";9;10;"bb2025"
"1 bribe";"Shambling Undead";14;100;"bb2020"
"1 bribe";"Shambling Undead";14;100;"bb2025"
"Bribes";"Shambling Undead";14;100;"bb2025"
"1 bloodweiser keg";"Shambling Undead";15;50;"bb2020"
"BlitzerBestKeg";"Shambling Undead";15;50;"bb2025"
"1 team mascot";"Shambling Undead";16;25;"bb2025"
"cheerleaders";"Shambling Undead";20;10;"bb2020"
"cheerleaders";"Shambling Undead";20;10;"bb2025"
"Skaven Clanrat Lineman";"Skaven";1;50;"bb2020"
"Skaven Clanrat";"Skaven";1;50;"bb2025"
"Thrower";"Skaven";2;85;"bb2020"
"Skaven Thrower";"Skaven";2;85;"bb2025"
"Gutter Runner";"Skaven";3;85;"bb2020"
"Gutter Runner";"Skaven";3;85;"bb2025"
"Blitzer";"Skaven";4;90;"bb2020"
"Skaven Blitzer";"Skaven";4;90;"bb2025"
"Blitzer";"Skaven";4;90;"bb2025"
"Rat Ogre";"Skaven";5;150;"bb2020"
"Rat Ogre";"Skaven";5;150;"bb2025"
"rerolls";"Skaven";6;50;"bb2020"
"rerolls";"Skaven";6;50;"bb2025"
"Star player Glart Smashrip";"Skaven";7;195;"bb2020"
"Star player Glart Smashrip";"Skaven";7;195;"bb2025"
"Star player Kreek Rustgouger";"Skaven";8;170;"bb2020"
"Star player Kreek Rustgouger";"Skaven";8;170;"bb2025"
"1 bloodweiser keg";"Skaven";9;50;"bb2020"
"1 bloodweiser keg";"Skaven";9;50;"bb2025"
"apothecary";"Skaven";10;50;"bb2020"
"apothecary";"Skaven";10;50;"bb2025"
"assistantCoaches";"Skaven";11;10;"bb2020"
"assistantCoaches";"Skaven";11;10;"bb2025"
"Star player Hakflem Skuttlespike";"Skaven";12;210;"bb2020"
"Star player Hakflem Skuttlespike";"Skaven";12;210;"bb2025"
"1 bribe";"Skaven";13;100;"bb2020"
"1 bribe";"Skaven";13;100;"bb2025"
"cheerleaders";"Skaven";20;10;"bb2020"
"cheerleaders";"Skaven";20;10;"bb2025"
"dedicated_fans";"Skaven";20;5;"bb2025"
"TempAgencyCheerleaders";"Skaven";20;10;"bb2025"
"Lineman";"Slann";1;60;"bb2020"
"Lineman";"Slann";1;60;"bb2025"
"Catcher";"Slann";2;80;"bb2020"
"Catcher";"Slann";2;80;"bb2025"
"Blitzer";"Slann";3;110;"bb2020"
"Blitzer";"Slann";3;110;"bb2025"
"Kroxigor";"Slann";4;140;"bb2020"
"Kroxigor";"Slann";4;140;"bb2025"
"rerolls";"Slann";5;50;"bb2020"
"rerolls";"Slann";5;50;"bb2025"
"apothecary";"Slann";6;50;"bb2020"
"apothecary";"Slann";6;50;"bb2025"
"1 bribe";"Slann";7;100;"bb2020"
"1 bribe";"Slann";7;100;"bb2025"
"1 part-time assistant coach";"Slann";8;20;"bb2020"
"1 part-time assistant coach";"Slann";8;20;"bb2025"
"assistantCoaches";"Slann";9;10;"bb2020"
"assistantCoaches";"Slann";9;10;"bb2025"
"Star player Zolcath the Zoat";"Slann";20;230;"bb2020"
"Star player Zolcath the Zoat";"Slann";20;230;"bb2025"
"Lineman";"Slann 2025";1;60;"bb2025"
"Catcher";"Slann 2025";2;80;"bb2025"
"Blitzer";"Slann 2025";3;100;"bb2025"
"Kroxigor";"Slann 2025";4;140;"bb2025"
"rerolls";"Slann 2025";5;50;"bb2025"
"assistantCoaches";"Slann 2025";9;10;"bb2025"
"apothecary";"Slann 2025";10;50;"bb2025"
"Snotling Lineman";"Snotling";1;15;"bb2020"
"Snotling Lineman";"Snotling";1;15;"bb2025"
"Fungus Flinga";"Snotling";2;30;"bb2020"
"Fungus Flinga";"Snotling";2;30;"bb2025"
"Fun-hoppa";"Snotling";3;20;"bb2020"
"Fun-hoppa";"Snotling";3;20;"bb2025"
"Stilty Runna";"Snotling";4;20;"bb2020"
"Stilty Runna";"Snotling";4;20;"bb2025"
"Pump Wagon";"Snotling";5;105;"bb2020"
"Pump Wagon";"Snotling";5;105;"bb2025"
"Trained Troll";"Snotling";6;115;"bb2020"
"Trained Troll";"Snotling";6;115;"bb2025"
"rerolls";"Snotling";8;60;"bb2025"
"1 team mascot";"Snotling";9;25;"bb2025"
"rerolls";"Snotling";9;60;"bb2020"
"1 part-time assistant coach";"Snotling";10;20;"bb2020"
"assistantCoaches";"Snotling";10;10;"bb2020"
"1 part-time assistant coach";"Snotling";10;20;"bb2025"
"assistantCoaches";"Snotling";10;10;"bb2025"
"2 bribes";"Snotling";11;100;"bb2020"
"2 bribes";"Snotling";11;100;"bb2025"
"apothecary";"Snotling";12;50;"bb2025"
"1 biased referee";"Snotling";13;80;"bb2025"
"1 bribe";"Snotling";18;50;"bb2020"
"3 bribes";"Snotling";18;150;"bb2020"
"4 bribes";"Snotling";18;200;"bb2020"
"1 bribe";"Snotling";18;50;"bb2025"
"3 bribes";"Snotling";18;150;"bb2025"
"4 bribes";"Snotling";18;200;"bb2025"
"bribes";"Snotling";18;50;"bb2025"
"1 halfling master chef";"Snotling";19;300;"bb2020"
"1 halfling master chef";"Snotling";19;300;"bb2025"
"HalflingMasterChef";"Snotling";19;300;"bb2025"
"1 Riotous rookie";"Snotling";20;100;"bb2020"
"1 Riotous rookie";"Snotling";20;100;"bb2025"
"Star player Kreek Rustgouger";"Snotling";21;170;"bb2020"
"Star player Kreek Rustgouger";"Snotling";21;170;"bb2025"
"Star player Morg 'n' Thorg";"Snotling";22;380;"bb2020"
"Star player Morg 'n' Thorg";"Snotling";22;380;"bb2025"
"Star player Varag Ghoul-Chewer";"Snotling";23;280;"bb2020"
"Star player Varag Ghoul-Chewer";"Snotling";23;280;"bb2025"
"Star player Skitter Stab-Stab";"Snotling";24;150;"bb2020"
"Star player Skitter Stab-Stab";"Snotling";24;150;"bb2025"
"Star player Scrappa Sorehead";"Snotling";25;130;"bb2020"
"Star player Scrappa Sorehead";"Snotling";25;130;"bb2025"
"Star player Ripper Bolgrot";"Snotling";26;250;"bb2020"
"Star player Ripper Bolgrot";"Snotling";26;250;"bb2025"
"Star player Nobbla Blackwart";"Snotling";27;120;"bb2020"
"Star player Nobbla Blackwart";"Snotling";27;120;"bb2025"
"Star player Fungus the Loon";"Snotling";28;80;"bb2020"
"Star player Fungus the Loon";"Snotling";28;80;"bb2025"
"Star player Hakflem Skuttlespike";"Snotling";29;210;"bb2020"
"Star player Hakflem Skuttlespike";"Snotling";29;210;"bb2025"
"Star player Glart Smashrip";"Snotling";30;195;"bb2020"
"Star player Glart Smashrip";"Snotling";30;195;"bb2025"
"Skeleton Lineman";"Tomb Kings";1;40;"bb2020"
"Skeleton Lineman";"Tomb Kings";1;40;"bb2025"
"Anointed Thrower";"Tomb Kings";2;70;"bb2020"
"Tomb Kings Thrower";"Tomb Kings";2;70;"bb2025"
"Anointed Blitzer";"Tomb Kings";3;90;"bb2020"
"Tomb Kings Blitzer";"Tomb Kings";3;90;"bb2025"
"Tomb Guardian";"Tomb Kings";4;100;"bb2020"
"Tomb Guardian";"Tomb Kings";4;100;"bb2025"
"rerolls";"Tomb Kings";5;70;"bb2020"
"rerolls";"Tomb Kings";5;70;"bb2025"
"1 team mascot";"Tomb Kings";6;25;"bb2025"
"assistantCoaches";"Tomb Kings";9;10;"bb2020"
"assistantCoaches";"Tomb Kings";9;10;"bb2025"
"1 bribe";"Tomb Kings";11;100;"bb2020"
"1 bribe";"Tomb Kings";11;100;"bb2025"
"Star player Crumbleberry";"Tomb Kings";12;125;"bb2020"
"Star player Grak";"Tomb Kings";12;125;"bb2020"
"1 halfling master chef";"Tomb Kings";12;300;"bb2020"
"Star player Crumbleberry";"Tomb Kings";12;125;"bb2025"
"Star player Grak";"Tomb Kings";12;125;"bb2025"
"1 halfling master chef";"Tomb Kings";12;300;"bb2025"
"Star player Wilhelm Chaney";"Tomb Kings";14;220;"bb2020"
"Star player Wilhelm Chaney";"Tomb Kings";14;220;"bb2025"
"Star player Ivan 'The Animal' Deathshroud";"Tomb Kings";15;190;"bb2020"
"Star player Ivan 'The Animal' Deathshroud";"Tomb Kings";15;190;"bb2025"
"Star player Count Luthor von Drakenborg";"Tomb Kings";16;340;"bb2020"
"Star player Count Luthor von Drakenborg";"Tomb Kings";16;340;"bb2025"
"Star player Akhorne the Squirrel";"Tomb Kings";17;80;"bb2020"
"Star player Akhorne the Squirrel";"Tomb Kings";17;80;"bb2025"
"cheerleaders";"Tomb Kings";20;10;"bb2020"
"cheerleaders";"Tomb Kings";20;10;"bb2025"
"dedicated_fans";"Tomb Kings";20;5;"bb2025"
"Underworld Goblin Lineman";"Underworld Denizens";1;40;"bb2020"
"Goblin Lineman";"Underworld Denizens";1;40;"bb2025"
"Underworld Snotlings";"Underworld Denizens";2;15;"bb2020"
"Snotling Lineman";"Underworld Denizens";2;15;"bb2025"
"Skaven Clanrat";"Underworld Denizens";3;50;"bb2020"
"Skaven Clanrat";"Underworld Denizens";3;50;"bb2025"
"1 team mascot";"Underworld Denizens";3;25;"bb2025"
"Skaven Thrower";"Underworld Denizens";4;85;"bb2020"
"Skaven Thrower";"Underworld Denizens";4;85;"bb2025"
"Gutter Runner";"Underworld Denizens";5;85;"bb2020"
"Gutter Runner";"Underworld Denizens";5;85;"bb2025"
"Skaven Blitzer";"Underworld Denizens";6;90;"bb2020"
"Skaven Blitzer";"Underworld Denizens";6;90;"bb2025"
"Underworld Troll";"Underworld Denizens";7;115;"bb2020"
"Troll";"Underworld Denizens";7;115;"bb2025"
"Mutant Rat Ogre";"Underworld Denizens";8;150;"bb2020"
"Rat Ogre";"Underworld Denizens";8;150;"bb2025"
"rerolls";"Underworld Denizens";9;70;"bb2020"
"rerolls";"Underworld Denizens";9;70;"bb2025"
"Star player Glart Smashrip";"Underworld Denizens";10;195;"bb2020"
"Star player Kreek Rustgouger";"Underworld Denizens";11;170;"bb2020"
"HalflingMasterChef";"Underworld Denizens";11;300;"bb2025"
"Star player Morg 'n' Thorg";"Underworld Denizens";12;380;"bb2020"
"1 halfling master chef";"Underworld Denizens";12;300;"bb2025"
"Star player Hakflem Skuttlespike";"Underworld Denizens";13;210;"bb2020"
"Star player Varag Ghoul-Chewer";"Underworld Denizens";13;280;"bb2020"
"cheerleaders";"Underworld Denizens";13;10;"bb2025"
"apothecary";"Underworld Denizens";14;50;"bb2020"
"apothecary";"Underworld Denizens";14;50;"bb2025"
"assistantCoaches";"Underworld Denizens";15;10;"bb2020"
"assistantCoaches";"Underworld Denizens";15;10;"bb2025"
"1 biased referee";"Underworld Denizens";16;80;"bb2025"
"1 bloodweiser babe";"Underworld Denizens";17;50;"bb2020"
"1 bloodweiser keg";"Underworld Denizens";17;50;"bb2020"
"1 bloodweiser babe";"Underworld Denizens";17;50;"bb2025"
"1 bloodweiser keg";"Underworld Denizens";17;50;"bb2025"
"DodgyLeagueRep";"Underworld Denizens";17;80;"bb2025"
"2 bloodweiser kegs";"Underworld Denizens";18;100;"bb2020"
"2 bloodweiser kegs";"Underworld Denizens";18;100;"bb2025"
"1 bribe";"Underworld Denizens";19;50;"bb2020"
"1 bribe";"Underworld Denizens";19;50;"bb2025"
"dedicated_fans";"Underworld Denizens";19;5;"bb2025"
"Bribes";"Underworld Denizens";19;50;"bb2025"
"2 bribes";"Underworld Denizens";19;100;"bb2025"
"3 bribes";"Underworld Denizens";19;150;"bb2025"
"2 bribes";"Underworld Denizens";20;100;"bb2020"
"Star player Glart Smashrip";"Underworld Denizens";21;195;"bb2025"
"Star player Kreek Rustgouger";"Underworld Denizens";22;170;"bb2025"
"3 bribes";"Underworld Denizens";22;150;"bb2020"
"Star player Morg 'n' Thorg";"Underworld Denizens";23;380;"bb2025"
"1 halfling master chef";"Underworld Denizens";23;300;"bb2020"
"Star player Hakflem Skuttlespike";"Underworld Denizens";24;210;"bb2025"
"cheerleaders";"Underworld Denizens";24;10;"bb2020"
"Star player Varag Ghoul-Chewer";"Underworld Denizens";25;280;"bb2025"
"1 biased referee";"Underworld Denizens";25;80;"bb2020"
